iter	RMSE
0	11.7719902
1	11.69347691
2	11.6087409
3	11.53036629
4	11.45499638
5	11.37788943
6	11.30058129
7	11.2274364
8	11.15298068
9	11.07643419
10	11.00785334
11	10.93713162
12	10.86975541
13	10.80238471
14	10.73145759
15	10.66789164
16	10.6051073
17	10.53863415
18	10.46906406
19	10.40328244
20	10.34444292
21	10.27710248
22	10.21438299
23	10.15026136
24	10.08964834
25	10.02741923
26	9.9706679
27	9.914014009
28	9.856991335
29	9.801084883
30	9.744610096
31	9.687385507
32	9.631883478
33	9.577130662
34	9.527714515
35	9.472093878
36	9.417905099
37	9.369238572
38	9.318448086
39	9.26967249
40	9.220083621
41	9.172502561
42	9.124692348
43	9.08040269
44	9.037922194
45	8.990480484
46	8.944319658
47	8.899974183
48	8.860866331
49	8.815581396
50	8.772368739
51	8.728834269
52	8.690978041
53	8.656101871
54	8.618242535
55	8.579292668
56	8.539074439
57	8.499255264
58	8.463806308
59	8.42584689
60	8.38945753
61	8.354663803
62	8.318359307
63	8.289102545
64	8.255108669
65	8.223485596
66	8.188133948
67	8.155838225
68	8.124401226
69	8.092806555
70	8.062717824
71	8.03276288
72	8.00182759
73	7.970041931
74	7.940537965
75	7.911430612
76	7.883531945
77	7.861820813
78	7.83454654
79	7.807581585
80	7.781716308
81	7.75783225
82	7.732522378
83	7.706694276
84	7.680720205
85	7.655835223
86	7.630589493
87	7.607932
88	7.584873757
89	7.560258029
90	7.537144341
91	7.512940861
92	7.491428122
93	7.468570208
94	7.447945339
95	7.426269866
96	7.403896841
97	7.382509218
98	7.361138098
99	7.340654418
100	7.320437011
101	7.300397541
102	7.281455496
103	7.263263034
104	7.247378608
105	7.232687187
106	7.215059263
107	7.198253642
108	7.180775084
109	7.165732179
110	7.14730582
111	7.132299138
112	7.117732853
113	7.102886433
114	7.086496474
115	7.072210532
116	7.056842604
117	7.041979496
118	7.027268528
119	7.011942987
120	6.997945313
121	6.982664474
122	6.97072591
123	6.958081931
124	6.945715716
125	6.933433639
126	6.922643153
127	6.909850712
128	6.897066624
129	6.885020349
130	6.872665361
131	6.860312094
132	6.848517788
133	6.835763063
134	6.823714808
135	6.812300641
136	6.801357605
137	6.791534086
138	6.779870894
139	6.769105576
140	6.758504396
141	6.748784436
142	6.739959853
143	6.729830191
144	6.719843139
145	6.71180308
146	6.703158778
147	6.693667979
148	6.685049937
149	6.676130671
150	6.666232452
151	6.65870316
152	6.649150621
153	6.640030551
154	6.631538432
155	6.623764247
156	6.615801752
157	6.606703685
158	6.598345193
159	6.591202481
160	6.582598888
161	6.573907783
162	6.566021026
163	6.557259215
164	6.548756227
165	6.540307687
166	6.533203853
167	6.525360733
168	6.517784531
169	6.50964517
170	6.501691329
171	6.494271157
172	6.486572482
173	6.480168764
174	6.473072161
175	6.464780292
176	6.457968579
177	6.451763046
178	6.444422506
179	6.438119337
180	6.431865061
181	6.42668394
182	6.420040978
183	6.413221717
184	6.407314937
185	6.400805817
186	6.39425458
187	6.388364937
188	6.383150869
189	6.377514397
190	6.371178903
191	6.366564228
192	6.360261341
193	6.354271331
194	6.348539803
195	6.343208171
196	6.337940045
197	6.333150557
198	6.327848172
199	6.322717514
200	6.317933669
201	6.312409077
202	6.308284815
203	6.303835701
204	6.299134083
205	6.294262583
206	6.290414674
207	6.286563788
208	6.27854044
209	6.27431735
210	6.269932033
211	6.265860832
212	6.261502015
213	6.257813419
214	6.254192407
215	6.250550907
216	6.246168053
217	6.242966785
218	6.239403244
219	6.2344785
220	6.230554954
221	6.22710979
222	6.223541065
223	6.219891757
224	6.215792693
225	6.211683586
226	6.20631752
227	6.202521844
228	6.198920053
229	6.195619423
230	6.192623381
231	6.188065633
232	6.184574462
233	6.182207019
234	6.179374866
235	6.176684435
236	6.172923598
237	6.169920531
238	6.165392274
239	6.162300007
240	6.159844793
241	6.156397768
242	6.15279271
243	6.149948761
244	6.147204397
245	6.144616703
246	6.141302757
247	6.137229886
248	6.132678239
249	6.129602382
250	6.124815166
251	6.122086819
252	6.116946123
253	6.113983396
254	6.110616547
255	6.108323333
256	6.105953117
257	6.103449227
258	6.100687118
259	6.098279465
260	6.095404944
261	6.09399895
262	6.091796566
263	6.088504419
264	6.086131188
265	6.084291319
266	6.081841706
267	6.079732735
268	6.077249425
269	6.074311921
270	6.071360325
271	6.068472593
272	6.065860222
273	6.063823437
274	6.060864358
275	6.05955285
276	6.057119908
277	6.054121056
278	6.053089092
279	6.049946572
280	6.04607305
281	6.042087967
282	6.039906996
283	6.037930339
284	6.035937593
285	6.035309275
286	6.032587224
287	6.030350588
288	6.029384884
289	6.0272766
290	6.026462389
291	6.024779221
292	6.023831933
293	6.022307257
294	6.020222747
295	6.017620211
296	6.015631713
297	6.013362024
298	6.012239574
299	6.010460659
300	6.008894165
301	6.008017356
302	6.007037305
303	6.005159862
304	6.002289068
305	5.999777179
306	5.998855776
307	5.996786831
308	5.994870237
309	5.991396682
310	5.98693917
311	5.984899857
312	5.982635263
313	5.980031011
