iter	Passed	Remaining
0	49	49658
1	53	26485
2	55	18566
3	59	14753
4	62	12489
5	65	10863
6	68	9707
7	71	8830
8	74	8160
9	76	7619
10	79	7183
11	82	6810
12	85	6522
13	88	6247
14	91	6008
15	94	5799
16	96	5608
17	99	5446
18	102	5316
19	105	5185
20	108	5059
21	111	4968
22	115	4896
23	118	4836
24	121	4754
25	125	4702
26	128	4623
27	133	4637
28	138	4622
29	140	4557
30	143	4492
31	146	4430
32	149	4372
33	152	4324
34	156	4309
35	159	4279
36	164	4277
37	168	4268
38	171	4233
39	175	4207
40	178	4172
41	183	4175
42	186	4142
43	189	4114
44	192	4083
45	195	4054
46	198	4022
47	201	3993
48	204	3968
49	207	3946
50	210	3915
51	213	3892
52	216	3866
53	219	3838
54	221	3810
55	227	3843
56	231	3828
57	235	3818
58	238	3798
59	241	3776
60	244	3756
61	246	3733
62	249	3714
63	252	3695
64	255	3679
65	258	3662
66	261	3641
67	264	3629
68	267	3614
69	270	3596
70	273	3581
71	277	3573
72	280	3558
73	283	3542
74	285	3523
75	288	3508
76	291	3498
77	295	3488
78	298	3475
79	301	3461
80	303	3446
81	306	3432
82	310	3427
83	313	3413
84	315	3398
85	318	3382
86	320	3368
87	323	3354
88	326	3341
89	329	3332
90	333	3333
91	338	3336
92	341	3326
93	344	3321
94	348	3317
95	350	3304
96	354	3299
97	357	3292
98	360	3280
99	363	3274
100	367	3272
101	373	3287
102	376	3281
103	379	3270
104	383	3270
105	391	3302
106	395	3297
107	397	3286
108	405	3311
109	407	3300
110	411	3295
111	415	3294
112	419	3292
113	425	3303
114	428	3295
115	431	3285
116	433	3275
117	436	3265
118	440	3259
119	443	3250
120	446	3240
121	449	3236
122	453	3233
123	456	3223
124	459	3217
125	462	3206
126	464	3195
127	467	3187
128	470	3179
129	473	3170
130	476	3162
131	479	3155
132	482	3145
133	486	3144
134	489	3139
135	493	3134
136	496	3128
137	499	3120
138	502	3111
139	505	3104
140	508	3099
141	511	3092
142	514	3084
143	518	3079
144	521	3074
145	524	3070
146	529	3070
147	532	3067
148	536	3063
149	539	3055
150	542	3051
151	546	3048
152	550	3045
153	553	3042
154	557	3037
155	560	3030
156	563	3025
157	567	3026
158	571	3020
159	574	3017
160	577	3008
161	580	3000
162	582	2992
163	585	2985
164	588	2976
165	591	2972
166	596	2974
167	600	2974
168	604	2974
169	608	2968
170	610	2961
171	613	2952
172	616	2945
173	618	2937
174	621	2929
175	623	2921
176	626	2915
177	629	2908
178	632	2901
179	635	2894
180	637	2886
181	640	2879
182	643	2872
183	646	2865
184	648	2857
185	651	2851
186	654	2843
187	658	2843
188	661	2837
189	664	2830
190	667	2827
191	670	2821
192	673	2815
193	675	2808
194	678	2801
195	681	2796
196	684	2789
197	687	2782
198	689	2775
199	692	2769
200	694	2762
201	697	2757
202	702	2757
203	705	2754
204	708	2747
205	711	2741
206	715	2740
207	718	2736
208	721	2730
209	723	2723
210	727	2720
211	730	2715
212	733	2710
213	736	2704
214	739	2698
215	741	2692
216	744	2686
217	747	2681
218	750	2676
219	753	2671
220	755	2664
221	759	2663
222	763	2659
223	766	2655
224	769	2649
225	771	2643
226	774	2638
227	777	2632
228	780	2626
229	783	2621
230	785	2615
231	788	2609
232	791	2604
233	793	2598
234	796	2592
235	799	2587
236	801	2581
237	804	2575
238	807	2570
239	810	2565
240	812	2559
241	815	2554
242	818	2549
243	820	2543
244	824	2539
245	827	2535
246	830	2532
247	833	2528
248	836	2522
249	839	2518
250	843	2516
251	846	2511
252	849	2506
253	851	2502
254	854	2496
255	857	2491
256	860	2486
257	862	2481
258	865	2476
259	868	2471
260	871	2466
261	874	2462
262	878	2461
263	881	2458
264	884	2453
265	887	2449
266	890	2444
267	893	2441
268	896	2436
269	899	2431
270	902	2427
271	905	2424
272	908	2420
273	911	2415
274	914	2410
275	917	2405
276	920	2401
277	922	2396
278	925	2391
279	928	2388
280	932	2386
281	936	2383
282	940	2381
283	942	2376
284	945	2372
285	948	2367
286	951	2363
287	953	2358
288	956	2354
289	959	2349
290	962	2345
291	966	2342
292	971	2343
293	974	2340
294	978	2338
295	981	2334
296	985	2332
297	989	2330
298	992	2327
299	996	2324
300	1000	2323
301	1003	2318
302	1006	2315
303	1009	2311
304	1012	2307
305	1015	2302
306	1018	2299
307	1021	2294
308	1023	2289
309	1026	2284
310	1029	2281
311	1033	2278
312	1036	2275
313	1045	2284
314	1049	2282
315	1053	2280
316	1057	2277
317	1061	2276
318	1064	2272
319	1068	2270
320	1071	2267
321	1076	2266
322	1081	2266
323	1083	2260
324	1086	2256
325	1089	2251
326	1091	2247
327	1094	2243
328	1098	2239
329	1100	2233
330	1103	2229
331	1106	2225
332	1108	2220
333	1111	2217
334	1115	2214
335	1118	2210
336	1122	2209
337	1128	2209
338	1131	2205
339	1133	2201
340	1137	2198
341	1140	2193
342	1143	2189
343	1146	2185
344	1149	2181
345	1152	2178
346	1155	2174
347	1158	2170
348	1161	2166
349	1164	2162
350	1167	2158
351	1170	2154
352	1173	2151
353	1176	2147
354	1180	2144
355	1184	2141
356	1187	2138
357	1192	2138
358	1199	2140
359	1207	2146
360	1212	2146
361	1219	2148
362	1223	2146
363	1226	2142
364	1229	2138
365	1232	2134
366	1235	2130
367	1239	2129
368	1244	2128
369	1247	2124
370	1250	2120
371	1252	2113
372	1255	2110
373	1258	2105
374	1261	2102
375	1263	2096
376	1266	2093
377	1269	2088
378	1277	2093
379	1280	2089
380	1283	2085
381	1286	2081
382	1289	2076
383	1291	2072
384	1294	2067
385	1297	2063
386	1300	2059
387	1302	2055
388	1305	2051
389	1308	2047
390	1312	2044
391	1315	2040
392	1318	2036
393	1321	2032
394	1324	2027
395	1326	2023
396	1329	2019
397	1332	2014
398	1334	2010
399	1337	2006
400	1340	2002
401	1343	1997
402	1345	1993
403	1348	1989
404	1351	1985
405	1354	1981
406	1357	1977
407	1359	1973
408	1362	1968
409	1365	1965
410	1368	1961
411	1371	1957
412	1374	1953
413	1378	1950
414	1381	1946
415	1383	1942
416	1386	1938
417	1391	1937
418	1394	1933
419	1397	1929
420	1400	1925
421	1402	1921
422	1405	1917
423	1409	1914
424	1413	1911
425	1417	1909
426	1419	1905
427	1423	1901
428	1426	1898
429	1430	1896
430	1438	1899
431	1446	1901
432	1449	1897
433	1452	1893
434	1454	1889
435	1457	1885
436	1460	1881
